Statistic,Value
Sample Size,20578.0
Median,3.8
Mean,26.717256779084458
Standard Deviation,257.9940615550849
Variance,66560.93579768893
Minimum,0.0
Maximum,22700.0
First Quartile,0.8
Third Quartile,11.0
Interquartile Range,10.2
Number of Outliers,2038.0
