# HYDROGRAPH FILE
# Filename=unit_sta08055700_1974_0607.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"
# longitude=96()50'13"
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
06/07/1974@00:00:00    0.0000    0.8000    0.0004
06/07/1974@07:00:00    7.0000    0.8000    0.0009
06/07/1974@08:00:00    8.0000    0.8000    0.0010
06/07/1974@08:15:00    8.2500    0.8000    0.0010
06/07/1974@08:31:00    8.5167    0.8000    0.0010
06/07/1974@08:45:00    8.7500    0.8000    0.0011
06/07/1974@09:00:00    9.0000    1.9000    0.0011
06/07/1974@09:15:00    9.2500    15.0000    0.0017
06/07/1974@09:31:00    9.5167    122.0000    0.0065
06/07/1974@09:45:00    9.7500    963.0000    0.0425
06/07/1974@10:00:00    10.0000    1780.0000    0.1114
06/07/1974@10:15:00    10.2500    2430.0000    0.2085
06/07/1974@10:31:00    10.5167    2730.0000    0.3142
06/07/1974@10:45:00    10.7500    1630.0000    0.3752
06/07/1974@11:00:00    11.0000    983.0000    0.4132
06/07/1974@11:15:00    11.2500    655.0000    0.4394
06/07/1974@11:31:00    11.5167    336.0000    0.4524
06/07/1974@11:45:00    11.7500    201.0000    0.4599
06/07/1974@12:00:00    12.0000    136.0000    0.4652
06/07/1974@12:15:00    12.2500    91.0000    0.4688
06/07/1974@12:31:00    12.5167    68.0000    0.4715
06/07/1974@12:45:00    12.7500    46.0000    0.4732
06/07/1974@13:00:00    13.0000    35.0000    0.4753
06/07/1974@13:31:00    13.5167    21.0000    0.4769
06/07/1974@14:00:00    14.0000    15.0000    0.4786
06/07/1974@15:00:00    15.0000    9.1000    0.4800
06/07/1974@16:00:00    16.0000    7.1000    0.4809
06/07/1974@16:31:00    16.5167    6.1000    0.4813
06/07/1974@17:00:00    17.0000    9.8000    0.4819
06/07/1974@17:15:00    17.2500    41.0000    0.4835
06/07/1974@17:31:00    17.5167    155.0000    0.4895
06/07/1974@17:45:00    17.7500    627.0000    0.5130
06/07/1974@18:00:00    18.0000    1280.0000    0.5625
06/07/1974@18:15:00    18.2500    1860.0000    0.6369
06/07/1974@18:31:00    18.5167    2410.0000    0.7302
06/07/1974@18:45:00    18.7500    2140.0000    0.8102
06/07/1974@19:00:00    19.0000    1500.0000    0.8683
06/07/1974@19:15:00    19.2500    972.0000    0.9071
06/07/1974@19:31:00    19.5167    631.0000    0.9316
06/07/1974@19:45:00    19.7500    366.0000    0.9453
06/07/1974@20:00:00    20.0000    265.0000    0.9555
06/07/1974@20:15:00    20.2500    169.0000    0.9623
06/07/1974@20:31:00    20.5167    130.0000    0.9673
06/07/1974@20:45:00    20.7500    87.0000    0.9706
06/07/1974@21:00:00    21.0000    62.0000    0.9730
06/07/1974@21:15:00    21.2500    43.0000    0.9747
06/07/1974@21:31:00    21.5167    28.0000    0.9763
06/07/1974@22:00:00    22.0000    21.0000    0.9779
06/07/1974@22:31:00    22.5167    11.0000    0.9788
06/07/1974@23:00:00    23.0000    6.8000    0.9796
06/08/1974@00:00:00    24.0000    4.7000    0.9799
