# HYDROGRAPH FILE
# Filename=unit_sta08055700_1977_0612.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"
# longitude=96()50'13"
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
06/12/1977@00:00:00    0.0000    0.5000    0.0006
06/12/1977@16:00:00    16.0000    0.5000    0.0012
06/12/1977@16:15:00    16.2500    0.5000    0.0012
06/12/1977@16:31:00    16.5167    0.5000    0.0013
06/12/1977@16:45:00    16.7500    0.5000    0.0013
06/12/1977@17:00:00    17.0000    0.5000    0.0013
06/12/1977@17:15:00    17.2500    0.5000    0.0013
06/12/1977@17:31:00    17.5167    3.0000    0.0014
06/12/1977@17:45:00    17.7500    66.0000    0.0039
06/12/1977@18:00:00    18.0000    598.0000    0.0271
06/12/1977@18:15:00    18.2500    1740.0000    0.0966
06/12/1977@18:31:00    18.5167    3380.0000    0.2274
06/12/1977@18:45:00    18.7500    3740.0000    0.3674
06/12/1977@19:00:00    19.0000    3320.0000    0.4958
06/12/1977@19:15:00    19.2500    2760.0000    0.6062
06/12/1977@19:31:00    19.5167    1960.0000    0.6821
06/12/1977@19:45:00    19.7500    1180.0000    0.7262
06/12/1977@20:00:00    20.0000    631.0000    0.7506
06/12/1977@20:15:00    20.2500    421.0000    0.7675
06/12/1977@20:31:00    20.5167    248.0000    0.7771
06/12/1977@20:45:00    20.7500    167.0000    0.7833
06/12/1977@21:00:00    21.0000    132.0000    0.7884
06/12/1977@21:15:00    21.2500    103.0000    0.7925
06/12/1977@21:31:00    21.5167    79.0000    0.7956
06/12/1977@21:45:00    21.7500    54.0000    0.7976
06/12/1977@22:00:00    22.0000    38.0000    0.7999
06/12/1977@22:31:00    22.5167    28.0000    0.8020
06/12/1977@23:00:00    23.0000    21.0000    0.8037
06/12/1977@23:31:00    23.5167    17.0000    0.8050
06/13/1977@00:00:00    24.0000    13.0000    0.8065
06/13/1977@01:00:00    25.0000    9.1000    0.8079
06/13/1977@02:00:00    26.0000    6.3000    0.8093
06/13/1977@04:00:00    28.0000    3.8000    0.8105
06/13/1977@06:00:00    30.0000    2.6000    0.8121
06/13/1977@12:00:00    36.0000    1.9000    0.8139
06/13/1977@18:00:00    42.0000    1.4000    0.8152
06/14/1977@00:00:00    48.0000    1.1000    0.8157
