X-Easting	Y-Northing	Z-Elevation
662.0918525	3772.927975	90.0
567.9050539	3733.188964	90.0
480.271114	3645.751891	90.0
541.243637	3540.990522	90.0
540.3155497	3376.072222	90.0
581.2638862	3228.225103	90.0
631.3806002	3133.813314	90.0
669.3759316	3097.589785	90.0
707.6525016	3050.735439	90.0
737.182552	2934.499536	90.0
-409.0896307	3063.588042	90.0
-309.8967854	3114.09849	90.0
-105.2394746	3178.052142	90.0
38.50156087	3144.640999	90.0
200.2137413	3031.920578	90.0
308.6312119	2933.740192	90.0
453.7784403	2847.174959	90.0
549.5120511	2828.444469	90.0
665.1292291	2858.115139	90.0
99.50220772	1438.816548	90.0
93.28683522	1273.757629	90.0
11.5026577	1165.199539	90.0
-120.2576145	1145.737829	90.0
-144.3597604	1256.798943	90.0
-189.8922856	1377.928397	90.0
-281.4635655	1439.322778	90.0
-346.7390387	1506.735664	90.0
-422.7297016	1579.182721	90.0
-374.8910201	170.880558	90.0
-257.0239334	115.5046826	90.0
-17.60553478	265.4892145	90.0
0.590601007	377.6752819	90.0
109.8799111	646.5393593	90.0
308.2656017	747.5602554	90.0
602.2442838	835.1660714	90.0
908.7662064	848.6373991	90.0
1191.804708	749.7820401	90.0
1413.645696	564.1927047	90.0
1624.265264	202.7730123	90.0
1677.756841	-19.20859465	90.0
1693.393706	-210.2820823	90.0
1766.684478	-580.6732851	90.0
-174.5647833	-201.451191	90.0
751.4132238	-203.4198611	90.0
1355.373063	-33.10178024	90.0
1220.744157	255.8708552	90.0
719.8863796	588.2948505	90.0
468.9653233	273.1107799	90.0
309.3343083	-92.8368535	90.0
-329.3866187	2650.814186	90.0
-207.8915544	2058.300757	90.0
161.1778272	2307.478134	90.0
236.9153753	2644.598813	90.0
-187.6142532	1691.81877	90.0
-205.7541412	2377.506539	90.0
734.0608038	3652.501617	90.0
705.6275839	3327.277329	90.0
962.2859071	3025.59271	90.0
1703.883905	3593.188402	90.0
1456.450207	3746.182186	90.0
1386.590545	3786.877408	90.0
2084.79343	3794.808336	90.0
-134.4320387	1081.531063	100.0
59.93194026	1134.572658	100.0
195.938915	1393.509014	100.0
243.6088534	1591.585342	100.0
324.4086959	1737.351295	100.0
362.2071603	1908.569339	100.0
404.8710521	2095.87423	100.0
471.4964705	2177.433417	100.0
632.2243159	2101.920859	100.0
745.6478331	2014.51191	100.0
865.0054842	2102.792699	100.0
990.915994	2143.375425	100.0
1267.401637	2092.218129	100.0
1429.535675	1963.551481	100.0
1550.074528	1807.182833	100.0
1692.690609	1816.294963	100.0
1778.412127	1776.021599	100.0
1859.268217	1719.661389	100.0
1935.905729	1822.76345	100.0
1989.987907	1978.457125	100.0
1959.895379	2115.954664	100.0
1958.911044	2153.162528	100.0
1828.135107	2096.492955	100.0
1672.272689	2188.092359	100.0
1558.427314	2291.447535	100.0
1344.12352	2392.130945	100.0
1136.091346	2455.74711	100.0
1009.196501	2452.372247	100.0
943.0773125	2551.677588	100.0
929.2684985	2673.650758	100.0
983.631915	2818.713615	100.0
1173.130467	2855.668363	100.0
1275.416936	2789.239812	100.0
1360.435357	2775.543494	100.0
1425.654583	2910.256771	100.0
1490.873808	3044.970048	100.0
1525.775515	3125.685519	100.0
1460.640661	3187.782996	100.0
1664.594876	3278.313694	100.0
1901.678994	3316.534016	100.0
2149.618922	3344.404759	100.0
2347.723374	3456.056473	100.0
2498.10164	3571.758022	100.0
2579.463959	3696.262339	100.0
2672.103946	3794.47085	100.0
2843.490733	3916.050285	100.0
-194.8420845	1165.030796	100.0
-337.5144135	1358.044829	100.0
-394.1839863	1500.154681	100.0
-331.9458897	347.5546306	100.0
-317.7152178	209.6352336	100.0
-168.9681357	186.9955283	100.0
-61.02877071	306.8875327	100.0
-22.94906769	467.4747588	100.0
67.15977163	661.3606322	100.0
238.8277976	772.3092499	100.0
380.1783053	829.2600613	100.0
574.9641421	866.3554293	100.0
817.3355457	904.7163709	100.0
1050.96043	873.6957561	100.0
1249.683607	761.9596704	100.0
1433.248024	623.2246815	100.0
1581.348258	425.0358579	100.0
1689.540737	135.360126	100.0
1720.758219	-44.66068566	100.0
1795.820795	-282.0260427	100.0
464.3530107	3847.456197	100.0
376.8596901	3754.703715	100.0
310.5155103	3662.51371	100.0
456.3658351	3549.371432	100.0
496.3298366	3438.732177	100.0
464.6623731	3235.762297	100.0
492.1393818	2997.131367	100.0
364.2602019	3030.964367	100.0
225.1033552	3091.093174	100.0
75.79379588	3134.994516	100.0
-96.07109711	3231.487471	100.0
-238.8277976	3227.69075	100.0
-353.7418792	3171.443035	100.0
-458.0813904	3115.476559	100.0
2181.961358	1121.860674	150.0
2059.510082	1150.518885	150.0
2066.70979	1278.369941	150.0
2110.358017	1428.466969	150.0
2157.324859	1653.120342	150.0
2215.709987	1846.1625	150.0
2304.187642	1901.707118	150.0
2447.928678	1868.295975	150.0
2591.669713	1834.884833	150.0
2724.976798	1795.877043	150.0
2881.542312	1677.700593	150.0
2953.370644	1562.589645	150.0
3096.971061	1534.493911	150.0
3224.99086	1495.345502	150.0
3132.91335	1375.875355	150.0
3109.008072	1279.494896	150.0
3126.557359	1216.131845	150.0
3225.047107	1293.219338	150.0
3311.049864	1242.315156	150.0
3307.253143	1385.831201	150.0
3476.024412	1406.277245	150.0
3734.173299	1248.24929	150.0
3785.133729	1121.945046	150.0
3897.85415	1061.113142	150.0
3937.115055	977.0509323	150.0
4092.274376	912.0285738	150.0
3910.341142	1189.104818	150.0
3734.960767	1418.482999	150.0
3679.697387	1507.43876	150.0
3578.114014	1547.290266	150.0
3411.677026	1638.608432	150.0
3291.138173	1794.977079	150.0
3201.479315	1984.081897	150.0
3165.115167	2158.64668	150.0
3209.325871	2287.482071	150.0
3047.473071	2405.517901	150.0
3204.769806	2659.701325	150.0
3264.420508	2804.904801	150.0
2666.45105	2608.150294	150.0
2480.97421	2619.174846	150.0
2932.587114	2748.207104	150.0
2299.012853	2497.314172	150.0
2078.353067	2438.254071	150.0
1933.908935	2498.242259	150.0
1744.269764	2466.602919	150.0
1609.275248	2569.395618	150.0
1620.918525	2729.279748	150.0
1856.033974	2841.915797	150.0
1872.402059	3023.202182	150.0
2006.215373	3165.058919	150.0
2073.965745	3204.094834	150.0
2136.906938	3024.917738	150.0
2330.70844	3099.220969	150.0
2637.370982	3107.376888	150.0
2720.139494	3178.727114	150.0
2607.644064	3431.054363	150.0
391.0622381	1217.8474	150.0
453.7503164	1448.23804	150.0
533.5658239	1631.211857	150.0
620.2154287	1755.856793	150.0
771.2967911	1844.981298	150.0
864.9211126	1905.981944	150.0
1047.444948	2006.580983	150.0
1201.198076	1994.712715	150.0
1268.582839	1847.568693	150.0
1347.807745	1652.867227	150.0
1466.377928	1570.914307	150.0
1644.092584	1453.300335	150.0
1757.65672	1360.575977	150.0
1793.036533	1223.219057	150.0
1813.679444	1042.917007	150.0
1943.808533	924.037461	150.0
2139.438085	929.2403746	150.0
2227.775122	990.1004022	150.0
538.8249852	1232.415558	150.0
704.1370194	1183.620665	150.0
858.1713868	1161.121579	150.0
1004.865427	1016.086846	150.0
1251.596029	889.6701072	150.0
1482.886633	746.8852828	150.0
1613.156341	622.6903282	150.0
1723.542481	450.0942149	150.0
1723.036252	269.2296875	150.0
1795.989538	111.5954664	150.0
1815.085637	-10.23708412	150.0
2763.872093	3525.634896	150.0
3052.282251	3623.730911	150.0
3166.915094	3690.609444	150.0
3490.001969	3677.925584	150.0
3685.631521	3683.128498	150.0
3786.286807	3478.358692	150.0
3872.711421	3411.508282	150.0
4021.599123	3383.553168	150.0
4113.536013	3508.338724	150.0
-96.6054504	3651.686025	150.0
77.87496133	3656.326462	150.0
197.2888601	3542.481087	150.0
295.6942374	3422.757825	150.0
261.3550075	3320.780718	150.0
177.0396828	3307.899992	150.0
-25.14272858	3350.39514	150.0
-120.3138622	3347.863993	150.0
-278.2293219	3317.068369	150.0
-360.4353573	3224.456506	150.0
-162.3027815	3735.045139	150.0
-285.8790112	3806.226622	150.0
-371.0099277	1224.175268	150.0
-393.3683944	1069.325309	150.0
-378.0127682	888.8826391	150.0
-336.3613353	714.4584751	150.0
-375.7066119	601.7099305	150.0
-296.4817054	407.0084653	150.0
-112.9735355	470.39964	150.0
-52.47911804	583.7106618	150.0
-102.3145935	667.4916332	150.0
-165.7620159	665.8042017	150.0
4295.862981	816.3793346	200.0
4357.735467	477.5993475	200.0
4011.221419	1175.830357	200.0
3794.892707	1553.055657	200.0
3954.720589	1711.561718	200.0
4077.734342	1661.641871	200.0
4001.546812	1941.5305	200.0
3865.005484	2102.792699	200.0
3466.09669	2581.545125	200.0
3471.580842	2374.244171	200.0
3430.323143	2133.78519	200.0
3444.413196	2001.181202	200.0
3613.887561	1995.050201	200.0
3491.773772	1810.95143	200.0
3621.621622	1702.702703	200.0
3877.464353	1831.847456	200.0
3897.629159	1869.617797	200.0
3535.900104	1742.976067	200.0
3585.398093	2871.952077	200.0
3622.7747	3059.116348	200.0
2827.910116	2904.997609	200.0
2683.044126	2980.932025	200.0
4117.613972	3354.191861	200.0
2352.054448	2892.341874	200.0
1573.923559	1105.689456	200.0
1489.973845	1278.988666	200.0
1612.143882	1260.961273	200.0
1693.562449	1183.339427	200.0
1028.658211	1516.719633	200.0
961.329696	1461.737492	200.0
1086.874596	1316.140282	200.0
1149.53455	1147.594004	200.0
1255.420874	1145.090981	200.0
1287.510195	1332.114633	200.0
1135.669488	1471.693337	200.0
2172.42737	2882.245409	200.0
2031.076863	2825.294597	200.0
2036.561015	2617.993644	200.0
2174.733526	2595.0727	200.0
2293.388081	2709.930534	200.0
2476.333774	2794.583345	200.0
2578.282757	2940.911775	200.0
2477.683719	2943.555418	200.0
2935.849481	3024.889614	200.0
2905.475715	3173.017971	200.0
3006.580983	3351.238856	200.0
3105.211351	3423.01094	200.0
3541.159265	3344.179768	200.0
3845.065669	3256.517704	200.0
4076.440645	3310.543634	200.0
3011.0808	1181.145766	200.0
2967.432573	1031.048739	200.0
3035.604804	1054.138426	200.0
3101.527125	1162.274658	200.0
3200.298113	1228.731333	200.0
3303.00644	1146.356554	200.0
3300.250302	1050.538572	200.0
3442.950755	1256.461456	200.0
3611.722024	1276.907501	200.0
3681.216076	1050.032342	200.0
3866.130438	1060.269427	200.0
3845.881261	825.6883314	200.0
4110.52676	822.0884777	200.0
3054.869646	1325.927384	200.0
3015.468122	1415.305003	200.0
2877.154991	1443.541356	200.0
2827.881992	1506.060691	200.0
2809.48899	1601.316197	200.0
2775.937228	1669.572799	200.0
2678.938043	1736.141969	200.0
2615.068763	1750.400765	200.0
2433.248024	1623.224682	200.0
2340.523666	1328.205417	200.0
2454.425289	1022.724077	200.0
2512.501055	827.4601344	200.0
2663.076188	735.7201114	200.0
2656.720196	575.976601	200.0
2612.087634	463.0874371	200.0
2329.330371	551.311978	200.0
2068.425345	613.5219507	200.0
2035.632927	453.0753438	200.0
1949.5458	307.1687713	200.0
2067.272267	257.108305	200.0
2239.699637	139.3537138	200.0
3899.963439	-18.61799364	200.0
3743.594791	-107.8831172	200.0
3600.416233	-95.73361082	200.0
3469.387181	257.1645527	200.0
4013.668195	-116.6577608	200.0
4193.85775	-127.8229322	200.0
3321.202576	258.5426217	200.0
3139.044351	344.12352	200.0
3024.833366	261.2987597	200.0
2833.647383	288.1289198	200.0
2620.749782	335.6582389	200.0
2515.482184	114.7734623	200.0
2497.061057	-188.9079506	200.0
2290.153838	-167.8150575	200.0
2273.532638	60.46629356	200.0

