 DATA READ COMPLETE -- CLOSING INPUT FILE
 INPUT DATA FROM :
 HEAD.MAP
  ROWS =  302 COLUMNS =  197
 CMANNING =   150.
 FDEPTH       =   0.2
 RMAN      =   4.
 SPACING        =   29.874
 XMIN =   14.937 XMAX =   5900.115
 YMIN =   14.937 YMAX =   9036.885
 OUTLET AT (X,Y) =   283.803  612.417
 OUTLET AT COL,ROW =  10 21
 NUM. PARTICLES =  31775
 PRINT INCREMENT=  100
 VELOCITY MAPS BUILT
 PARTICLE MAPS BUILT
 BEGIN PARTICLE TRACKING
 PARTICLE COUNT =  31775
 ALREADY IN OUTLET, PARTICLE SHOULD BE REMOVED
 A SINGLE INSTANCE OF THIS MESSAGE IS EXPECTED
 IP,LPX,LPY = 1170 10 21
 DMOVE,TMOVE  =  0.  0.
 DTRM_V5 MODEL -- DISTANCE AREA MODEL      
  CUMULATIVE DISTANCE DISTRIBUTION     
 -DISTANCE(FT)-  --FRACTIONAL_AREA--  ---NUMBER---  
     5696.879         0.059      1861.000
     5721.052         0.059      1871.000
     5737.095         0.059      1881.000
     5749.134         0.060      1891.000
     5770.558         0.060      1901.000
     5788.634         0.060      1911.000
     5792.919         0.060      1921.000
     5801.390         0.061      1931.000
     5829.567         0.061      1941.000
     5834.185         0.061      1951.000
     5842.974         0.062      1961.000
     5869.783         0.062      1971.000
     5885.725         0.062      1981.000
     5902.128         0.063      1991.000
     5922.653         0.063      2001.000
     5929.673         0.063      2011.000
     5938.697         0.064      2021.000
     5953.143         0.064      2031.000
     5970.442         0.064      2041.000
     5980.281         0.065      2051.000
     5993.360         0.065      2061.000
     6010.300         0.065      2071.000
     6023.748         0.065      2081.000
     6043.398         0.066      2091.000
     6063.248         0.066      2101.000
     6067.532         0.066      2111.000
     6080.166         0.067      2121.000
     6104.180         0.067      2131.000
     6110.649         0.067      2141.000
     6120.838         0.068      2151.000
     6134.730         0.068      2161.000
     6160.338         0.068      2171.000
     6167.523         0.069      2181.000
     6188.893         0.069      2191.000
     6201.271         0.069      2201.000
     6207.739         0.070      2211.000
     6218.906         0.070      2221.000
     6241.487         0.070      2231.000
     6247.956         0.071      2241.000
     6258.145         0.071      2251.000
     6265.407         0.071      2261.000
     6288.715         0.071      2271.000
     6298.361         0.072      2281.000
     6315.019         0.072      2291.000
     6337.861         0.072      2301.000
     6345.046         0.073      2311.000
     6355.236         0.073      2321.000
     6382.362         0.073      2331.000
     6391.447         0.074      2341.000
     6402.714         0.074      2351.000
     6426.022         0.074      2361.000
     6435.668         0.075      2371.000
     6451.610         0.075      2381.000
     6461.263         0.075      2391.000
     6482.841         0.076      2401.000
     6492.542         0.076      2411.000
     6518.567         0.076      2421.000
     6528.754         0.077      2431.000
     6533.424         0.077      2441.000
     6558.354         0.077      2451.000
     6572.975         0.077      2461.000
     6588.917         0.078      2471.000
     6597.158         0.078      2481.000
     6617.809         0.078      2491.000
     6628.502         0.079      2501.000
     6637.374         0.079      2511.000
     6657.120         0.079      2521.000
     6670.443         0.080      2531.000
     6693.180         0.080      2541.000
     6710.659         0.080      2551.000
     6726.939         0.081      2561.000
     6749.781         0.081      2571.000
     6763.151         0.081      2581.000
     6774.681         0.082      2591.000
     6792.974         0.082      2601.000
     6807.372         0.082      2611.000
     6824.030         0.082      2621.000
     6847.966         0.083      2631.000
     6864.246         0.083      2641.000
     6891.517         0.083      2651.000
     6903.115         0.084      2661.000
     6913.518         0.084      2671.000
     6931.940         0.084      2681.000
     6945.656         0.085      2691.000
     6975.249         0.085      2701.000
     6990.050         0.085      2711.000
     7006.104         0.086      2721.000
     7024.993         0.086      2731.000
     7040.422         0.086      2741.000
     7049.294         0.087      2751.000
     7068.645         0.087      2761.000
     7086.784         0.087      2771.000
     7111.347         0.088      2781.000
     7128.053         0.088      2791.000
     7145.642         0.088      2801.000
     7162.300         0.088      2811.000
     7177.729         0.089      2821.000
     7184.927         0.089      2831.000
     7217.945         0.089      2841.000
     7224.091         0.090      2851.000
     7244.306         0.090      2861.000
     7263.428         0.090      2871.000
     7279.787         0.091      2881.000
     7288.045         0.091      2891.000
     7307.017         0.091      2901.000
     7316.382         0.092      2911.000
     7339.823         0.092      2921.000
     7355.252         0.092      2931.000
     7368.897         0.093      2941.000
     7389.386         0.093      2951.000
     7407.856         0.093      2961.000
