# HYETOGRAPH FILE
# Filename=rain_sta08055700_1967_0530.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'36"  Location 2
# longitude=96()50'12"  Location 2
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# PRECIP1=Gage 8-W raw recorded precipitation in inches
# PRECIP2=Gage 9-W raw recorded precipitation in inches
# PRECIP3=Gage 1-T raw recorded precipitation in inches
# PRECIP4=Gage 3-T raw recorded precipitation in inches
# PRECIP5=Gage 1-B raw recorded precipitation in inches
# PRECIP6=Gage 2-B raw recorded precipitation in inches
# ACCUM_WTD_PRECIP=weighted cumulative precipitation in inches
DATE_TIME    HOURS_PASSED    PRECIP1    PRECIP2    PRECIP3    PRECIP4    PRECIP5    PRECIP6    ACCUM_WTD_PRECIP
05/30/1967@04:00:00    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
05/30/1967@04:30:00    0.5000    0.0000    0.0000    0.0000    0.0200    0.0000    0.0000    0.0000
05/30/1967@04:45:00    0.7500    0.3200    0.0800    0.0600    0.0400    0.1000    0.0200    0.0600
05/30/1967@05:00:00    1.0000    0.5700    0.3500    0.3000    0.0700    0.3000    0.2800    0.2900
05/30/1967@05:15:00    1.2500    0.7100    0.5600    0.5800    0.3000    0.5000    0.5200    0.5100
05/30/1967@05:30:00    1.5000    0.7900    0.7300    0.6600    0.4800    0.7000    0.8100    0.7300
05/30/1967@05:45:00    1.7500    0.7900    0.7300    0.6700    0.6600    0.7000    0.8200    0.7500
05/30/1967@06:00:00    2.0000    0.9000    0.7300    0.6700    0.6600    0.7000    0.8200    0.7500
05/30/1967@06:15:00    2.2500    1.2500    0.7300    0.6700    0.6600    0.7000    0.8200    0.7600
05/30/1967@06:30:00    2.5000    1.8000    0.7300    0.6700    0.6600    0.8000    0.8200    0.8100
05/30/1967@06:45:00    2.7500    2.0900    0.7700    0.6700    0.6600    0.8500    0.8200    0.8400
05/30/1967@07:00:00    3.0000    2.1500    0.7700    0.6700    0.6600    0.8500    0.8200    0.8400
05/30/1967@23:00:00    19.0000    2.1500    0.7700    0.6700    0.6600    0.8500    0.8200    0.8400
05/30/1967@23:15:00    19.2500    2.1500    0.7700    0.6700    0.6600    0.8500    0.8200    0.8400
05/30/1967@23:30:00    19.5000    2.1500    0.9800    0.7600    0.7000    0.8500    0.8200    0.8600
05/30/1967@23:45:00    19.7500    2.3200    1.0700    0.7700    0.7300    0.8900    0.8700    0.9100
05/31/1967@00:00:00    20.0000    2.3700    1.0700    0.7700    0.7300    0.8900    0.8700    0.9100
05/31/1967@00:15:00    20.2500    2.5500    1.4500    1.0500    0.8700    0.9200    0.9100    0.9900
05/31/1967@00:30:00    20.5000    2.9000    1.5600    1.1700    1.0300    1.0800    1.1400    1.1800
05/31/1967@00:45:00    20.7500    3.1000    1.6500    1.2700    1.1600    1.3200    1.4400    1.4200
05/31/1967@01:00:00    21.0000    3.2300    1.7200    1.3300    1.2500    1.4400    1.5300    1.5200
05/31/1967@01:15:00    21.2500    3.3300    1.7600    1.4000    1.3400    1.5200    1.6300    1.6000
05/31/1967@01:30:00    21.5000    3.3600    1.8200    1.6300    1.4200    1.5800    1.6800    1.6800
05/31/1967@01:45:00    21.7500    3.4200    1.9200    1.6400    1.6000    1.6000    1.7000    1.7100
05/31/1967@02:00:00    22.0000    3.4700    1.9200    1.7000    1.6100    1.6200    1.7300    1.7400
05/31/1967@02:15:00    22.2500    3.6700    2.0400    1.7500    1.6700    1.8300    1.8500    1.8800
05/31/1967@02:30:00    22.5000    3.7800    2.2500    1.8500    1.7500    2.0100    1.9600    2.0200
05/31/1967@02:45:00    22.7500    3.8000    2.2500    1.8500    1.7600    2.1300    1.9900    2.0700
05/31/1967@03:00:00    23.0000    3.8000    2.2500    1.8500    1.7700    2.1500    2.0000    2.0900
05/31/1967@03:15:00    23.2500    3.8000    2.2500    1.8500    1.7700    2.1500    2.0000    2.0900
05/31/1967@03:30:00    23.5000    3.8200    2.2500    1.8500    1.7700    2.1500    2.0000    2.0900
05/31/1967@03:45:00    23.7500    3.8800    2.2900    1.8500    1.7800    2.1500    2.0000    2.0900
05/31/1967@04:00:00    24.0000    3.9200    2.3800    2.0500    1.8000    2.1800    2.0100    2.1300
05/31/1967@04:15:00    24.2500    4.0400    2.4800    2.1100    1.9800    2.3300    2.2100    2.2900
05/31/1967@04:30:00    24.5000    4.0600    2.5100    2.1500    2.0400    2.4000    2.2700    2.3500
05/31/1967@04:45:00    24.7500    4.0800    2.5300    2.1700    2.0600    2.4200    2.2900    2.3700
05/31/1967@05:00:00    25.0000    4.0800    2.5300    2.1700    2.1000    2.4500    2.3100    2.3900
05/31/1967@05:15:00    25.2500    4.0800    2.5300    2.1700    2.1000    2.4500    2.3100    2.3900
05/31/1967@05:30:00    25.5000    4.0800    2.5300    2.2000    2.1000    2.4600    2.3100    2.4000
05/31/1967@05:45:00    25.7500    4.0800    2.5300    2.2200    2.1200    2.4700    2.3100    2.4000
05/31/1967@06:00:00    26.0000    4.0800    2.5300    2.2500    2.1500    2.4800    2.3100    2.4100
05/31/1967@06:15:00    26.2500    4.2000    2.7100    2.3000    2.1800    2.5100    2.3400    2.4500
05/31/1967@06:30:00    26.5000    4.2700    2.7100    2.3500    2.2100    2.5400    2.3700    2.4800
