# HYDROGRAPH FILE
# Filename=unit_sta08055700_1976_0618.dat
# site=08055700 Bachman Branch at Dallas, Texas
# latitude=32()51'37"
# longitude=96()50'13"
# drainage_area(mi2)=10.0
# DATE_TIME=date and time in MM/DD/YYYY@HH:MM
# RUNOFF=runoff in cubic feet per second
# ACCUM_RUNOFF=accumulated runoff in inches
DATE_TIME    HOURS_PASSED    RUNOFF    ACCUM_RUNOFF
06/18/1976@00:00:00    0.0000    2.6000    0.0012
06/18/1976@06:00:00    6.0000    2.8000    0.0029
06/18/1976@08:00:00    8.0000    2.8000    0.0034
06/18/1976@08:15:00    8.2500    9.8000    0.0038
06/18/1976@08:31:00    8.5167    14.0000    0.0044
06/18/1976@08:45:00    8.7500    48.0000    0.0062
06/18/1976@09:00:00    9.0000    86.0000    0.0095
06/18/1976@09:15:00    9.2500    1110.0000    0.0539
06/18/1976@09:31:00    9.5167    2240.0000    0.1406
06/18/1976@09:45:00    9.7500    2340.0000    0.2281
06/18/1976@10:00:00    10.0000    1580.0000    0.3219
06/18/1976@10:31:00    10.5167    675.0000    0.3741
06/18/1976@11:00:00    11.0000    354.0000    0.4015
06/18/1976@11:31:00    11.5167    196.0000    0.4167
06/18/1976@12:00:00    12.0000    117.0000    0.4301
06/18/1976@13:00:00    13.0000    52.0000    0.4381
06/18/1976@14:00:00    14.0000    30.0000    0.4428
06/18/1976@15:00:00    15.0000    46.0000    0.4499
06/18/1976@16:00:00    16.0000    15.0000    0.4522
06/18/1976@17:00:00    17.0000    8.2000    0.4548
06/18/1976@20:00:00    20.0000    4.7000    0.4573
06/19/1976@00:00:00    24.0000    3.8000    0.4585
